Top Level Category,Category,Display Name,indicator,metric,boundaries,periodicity,period reference,period,time step,delineations,description,data source,heat factor
Delineations,,General,,,,,,,,,Includes thresholds and subsequent projections tied to the meteorological conditions of the heat events associated with the highest ER visitation rates during HHE for the general population: non-minority and individuals between 6 and 64 years of age,weather observations: PRISM; health observations: OSHPD,
Delineations,,Vulnerable,,,,,,,,,Includes thresholds and subsequent projections tied to the meteorological conditions of the heat events associated with average ER visitation rates during HHE for vulnerable subgroups: individuals of color and/ or individuals under 5 or over 64 years of age,weather observations: PRISM; health observations: OSHPD,
Delineations,,2006 HW,,,,,,,,,Includes thresholds and subsequent projections tied to the meteorological conditions of the multi-day 2006 heat wave when ER visitation rates peaked,weather observations: PRISM; health observations: OSHPD,
Delineations,,Total,,,,,,,,,"Includes thresholds and subsequent projections tied to the meteorological conditions which occured during the highest HHE days for the entire summer period, between April and September",,
Delineations,,AM,,,,,,,,,Includes thresholds and subsequent projections tied to the meteorological conditions during April and May HHE,weather observations: PRISM; health observations: OSHPD,
Delineations,,JJA,,,,,,,,,"Includes thresholds and subsequent projections tied to the meteorological conditions during June, July, and August HHE",weather observations: PRISM; health observations: OSHPD,
Delineations,,SO,,,,,,,,,Includes thresholds and subsequent projections tied to the meteorological conditions during September and October HHE,weather observations: PRISM; health observations: OSHPD,
Heat Health Events,Historical HHEs,Historical Average Tmax (degF),Average Event Tmax (degF),degrees Fahrenheit,census,static,historical,weather observations: 1984-2013; health observations: 2005-2013,,time of year,The maximum temperature most often associated with significant public health impacts that have occured in the recent past,LOCA,
Heat Health Events,Historical HHEs,Historical Average Tmin (degF),Average Event Tmin (degF),degrees Fahrenheit,census,static,historical,weather observations: 1984-2013; health observations: 2005-2013,,time of year,The minimum temperature most often associated with significant public health impacts that have occured in the recent past,LOCA,
Heat Health Events,Historical HHEs,Historical Average RHmax (%),Average Event RH max (%),%,census,static,historical,weather observations: 1984-2013; health observations: 2005-2013,,time of year,The maximum relative humidity temperature most often associated with significant public health impacts that have occured in the recent past,LOCA,
Heat Health Events,Historical HHEs,Historical Average RHmin (%),Average Event RH min (%),%,census,static,historical,weather observations: 1984-2013;; health observations: 2005-2013,,time of year,The minimum relative temperature most often associated with significant public health impacts that have occured in the recent past,LOCA,
Heat Health Events,Historical HHEs,Historical Average Duration,Average duration,days,census,static,historical,weather observations: 1984-2013;; health observations: 2005-2013,,time of year,The average length (days) of historical heat health events,LOCA,
Heat Health Events,Historical HHEs,Historical Annual Number of Events,Event count,count,census,static,historical,weather observations: 1984-2013; health observations: 2005-2013,,time of year,The number of heat health events that have occurred in the recent past (2005-2013),LOCA,
Heat Health Events,Projected changes to HHEs,Projected Average Tmax,Tmax of (projected) HHEs,degrees Fahrenheit,census,dynamic,projected,2020-2100,10-yr,"percentile, time of year, RCP",The average maximum temperature during future HHE,LOCA,
